country,2021,happinessRank,happinessScore
Finland,5548.36,1,7.769
Denmark,5813.298,2,7.6
Norway,5465.63,3,7.554
Iceland,343.353,4,7.494
Netherlands,17173.099,5,7.488
Switzerland,8715.494,6,7.48
Sweden,10160.169,7,7.343
New Zealand,4860.643,8,7.307
Canada,38067.903,9,7.278
Austria,9043.07,10,7.246
Australia,25788.215,11,7.228
Costa Rica,5139.052,12,7.167
Israel,8789.774,13,7.139
Luxembourg,634.814,14,7.09
United Kingdom,68207.116,15,7.054
Ireland,4982.907,16,7.021
Germany,83900.473,17,6.985
Belgium,11632.326,18,6.923
United States,332915.073,19,6.892
Czech Republic,10724.555,20,6.852
United Arab Emirates,9991.089,21,6.825
Malta,442.784,22,6.726
Mexico,130262.216,23,6.595
France,65426.179,24,6.592
Taiwan,23855.01,25,6.446
Chile,19212.361,26,6.444
Guatemala,18249.86,27,6.436
Saudi Arabia,35340.683,28,6.375
Qatar,2930.528,29,6.374
Spain,46745.216,30,6.354
Panama,4381.579,31,6.321
Brazil,213993.437,32,6.3
Uruguay,3485.151,33,6.293
Singapore,5896.686,34,6.262
El Salvador,6518.499,35,6.253
Italy,60367.477,36,6.223
Bahrain,1748.296,37,6.199
Slovakia,5460.721,38,6.198
Trinidad and Tobago,1403.375,39,6.192
Poland,37797.005,40,6.182
Uzbekistan,33935.763,41,6.174
Lithuania,2689.862,42,6.149
Colombia,51265.844,43,6.125
Slovenia,2078.724,44,6.118
Nicaragua,6702.385,45,6.105
Argentina,45605.826,47,6.086
Romania,19127.774,48,6.07
Cyprus,1215.584,49,6.046
Ecuador,17888.475,50,6.028
Kuwait,4328.55,51,6.021
Thailand,69950.85,52,6.008
Latvia,1866.942,53,5.94
South Korea,51305.186,54,5.895
Estonia,1325.185,55,5.893
Jamaica,2973.463,56,5.89
Mauritius,1273.433,57,5.888
Japan,126050.804,58,5.886
Honduras,10062.991,59,5.86
Kazakhstan,18994.962,60,5.809
Bolivia,11832.94,61,5.779
Hungary,9634.164,62,5.758
Paraguay,7219.638,63,5.743
Peru,33359.418,65,5.697
Portugal,10167.925,66,5.693
Pakistan,225199.937,67,5.653
Russia,145912.025,68,5.648
Philippines,111046.913,69,5.631
Serbia,8697.55,70,5.603
Moldova,4024.019,71,5.529
Libya,6958.532,72,5.525
Montenegro,628.053,73,5.523
Tajikistan,9749.627,74,5.467
Croatia,4081.651,75,5.432
Hong Kong,7552.81,76,5.43
Dominican Republic,10953.703,77,5.425
Bosnia and Herzegovina,3263.466,78,5.386
Turkey,85042.738,79,5.373
Malaysia,32776.194,80,5.339
Belarus,9442.862,81,5.323
Greece,10370.744,82,5.287
Mongolia,3329.289,83,5.285
Nigeria,211400.708,85,5.265
Kyrgyzstan,6628.356,86,5.261
Turkmenistan,6117.924,87,5.247
Algeria,44616.624,88,5.211
Morocco,37344.795,89,5.208
Azerbaijan,10223.342,90,5.208
Lebanon,6769.146,91,5.197
Indonesia,276361.783,92,5.192
China,1444216.107,93,5.191
Vietnam,98168.833,94,5.175
Bhutan,779.898,95,5.082
Cameroon,27224.265,96,5.044
Bulgaria,6896.663,97,5.011
Ghana,31732.129,98,4.996
Ivory Coast,27053.629,99,4.944
Nepal,29674.92,100,4.913
Jordan,10269.021,101,4.906
Benin,12451.04,102,4.883
Republic of the Congo,5657.013,103,4.812
Gabon,2278.825,104,4.799
Laos,7379.358,105,4.796
South Africa,60041.994,106,4.722
Albania,2872.933,107,4.719
Venezuela,28704.954,108,4.707
Cambodia,16946.438,109,4.7
Palestine,5222.748,110,4.696
Senegal,17196.301,111,4.681
Somalia,16359.504,112,4.668
Namibia,2587.344,113,4.639
Niger,25130.817,114,4.628
Burkina Faso,21497.096,115,4.587
Armenia,2968.127,116,4.559
Iran,85028.759,117,4.548
Guinea,13497.244,118,4.534
Georgia,3979.765,119,4.519
Gambia,2486.945,120,4.516
Kenya,54985.698,121,4.509
Mauritania,4775.119,122,4.49
Mozambique,32163.047,123,4.466
Tunisia,11935.766,124,4.461
Bangladesh,166303.498,125,4.456
Iraq,41179.35,126,4.437
DR Congo,92377.993,127,4.418
Mali,20855.735,128,4.39
Sierra Leone,8141.343,129,4.374
Sri Lanka,21497.31,130,4.366
Myanmar,54806.012,131,4.36
Chad,16914.985,132,4.35
Ukraine,43466.819,133,4.332
Ethiopia,117876.227,134,4.286
Eswatini,1172.362,135,4.212
Uganda,47123.531,136,4.189
Egypt,104258.327,137,4.166
Zambia,18920.651,138,4.107
Togo,8478.25,139,4.085
India,1393409.038,140,4.015
Liberia,5180.203,141,3.975
Comoros,888.451,142,3.973
Madagascar,28427.328,143,3.933
Lesotho,2159.079,144,3.802
Burundi,12255.433,145,3.775
Zimbabwe,15092.171,146,3.663
Haiti,11541.685,147,3.597
Botswana,2397.241,148,3.488
Syria,18275.702,149,3.462
Malawi,19647.684,150,3.41
Yemen,30490.64,151,3.38
Rwanda,13276.513,152,3.334
Tanzania,61498.437,153,3.231
Afghanistan,39835.428,154,3.203
Central African Republic,4919.981,155,3.083
South Sudan,11381.378,156,2.853
